image_path,label,split
../data/hagrid_dataset/stop/08a6ca50-a49a-4f41-a684-3337944a52a1.jpg,stop,train
../data/hagrid_dataset/stop/76266210-42e0-40a3-95e9-c1974f345e84.jpg,stop,train
../data/hagrid_dataset/stop/67c65230-183e-4653-94a6-b897afe82005.jpg,stop,train
../data/hagrid_dataset/stop/f4b8bab0-f1f0-45ba-9505-71a1bd5c4a8e.jpg,stop,train
../data/hagrid_dataset/stop/3a43090e-d5ff-4371-8779-1e82da9c7106.jpg,stop,train
../data/hagrid_dataset/stop/40994249-0310-40c2-bda7-d87e102fb255.jpg,stop,train
../data/hagrid_dataset/stop/80ba2158-c604-40e5-a1c9-fe7c2a736143.jpg,stop,train
../data/hagrid_dataset/stop/b4eadab5-12b3-4dc9-8d70-b34f92268281.jpg,stop,train
../data/hagrid_dataset/stop/ba8d1bb1-f342-45f4-b138-20b214959dcf.jpg,stop,train
../data/hagrid_dataset/stop/2c2964b0-781e-4ecf-954d-4defe44e5fdc.jpg,stop,train
../data/hagrid_dataset/stop/c2ebbba3-a1f5-4db8-a2f1-c30c46742b42.jpg,stop,train
../data/hagrid_dataset/stop/a5c5fe83-0a40-460c-bfcb-9f38d290294b.jpg,stop,train
../data/hagrid_dataset/stop/37ca1412-b4cd-4392-b014-88eae051c5d3.jpg,stop,train
../data/hagrid_dataset/stop/18d8fa19-cc3a-48cf-b6d1-58663f5fa09e.jpg,stop,train
../data/hagrid_dataset/stop/c7aa3bc5-e989-4931-97e6-74cfb4e1cd56.jpg,stop,train
../data/hagrid_dataset/stop/f2e9781a-cb83-4359-ba4c-7062bed785b8.jpg,stop,train
../data/hagrid_dataset/stop/6932f6ad-f4c5-4fd9-8cef-547141dea0d5.jpg,stop,train
../data/hagrid_dataset/stop/37f6f7bf-8b9e-4942-94de-d23ddf280c38.jpg,stop,train
../data/hagrid_dataset/stop/119fb691-f4dd-4e6a-a60e-872c25a14e63.jpg,stop,train
../data/hagrid_dataset/stop/f4a3b7a7-f342-4fa1-99f4-a3a5a86d7719.jpg,stop,train
../data/hagrid_dataset/stop/63d7bf05-17ad-4752-8b1f-a7e7ff4d6ef9.jpg,stop,train
../data/hagrid_dataset/stop/409df30a-7169-472a-9318-e19fd4926495.jpg,stop,train
../data/hagrid_dataset/stop/d570321c-adf0-4df4-b015-20c530f33a3b.jpg,stop,train
../data/hagrid_dataset/stop/3442f095-8501-4512-95e3-1f629c2185ab.jpg,stop,train
../data/hagrid_dataset/stop/030d33cd-b6bb-455b-86d5-5adb77837515.jpg,stop,train
../data/hagrid_dataset/stop/bb1c6479-1b73-412a-9e19-42134ac1bd88.jpg,stop,train
../data/hagrid_dataset/stop/be97434f-a502-43a6-8f73-1635ba87dbb4.jpg,stop,train
../data/hagrid_dataset/stop/0a7e967c-218c-45cb-8c33-befc46486ad0.jpg,stop,train
../data/hagrid_dataset/stop/b3454ef7-46a4-451e-8486-09602c859c2c.jpg,stop,train
../data/hagrid_dataset/stop/53f8158e-d27c-4339-9b28-c22685e8f0bb.jpg,stop,train
../data/hagrid_dataset/stop/d81695cb-7361-4cd8-bc96-b605f80f21d9.jpg,stop,train
../data/hagrid_dataset/stop/e47935b8-8c2e-4589-812b-3772ac96e366.jpg,stop,train
../data/hagrid_dataset/stop/613a0faf-85aa-421b-bb28-414ca74a3cb6.jpg,stop,train
../data/hagrid_dataset/stop/f0e41fee-ea29-4658-b9b4-631e1c86e09f.jpg,stop,train
../data/hagrid_dataset/stop/a9f29ac5-c866-4747-aa2c-a70b6e708a1a.jpg,stop,train
../data/hagrid_dataset/stop/62d8d60e-c234-43da-9233-a06fef15ccf0.jpg,stop,train
../data/hagrid_dataset/stop/f680ea7e-3dd9-497b-a213-afd82bccf843.jpg,stop,train
../data/hagrid_dataset/stop/aef954a8-765a-4392-b8ce-d872cc14ee66.jpg,stop,train
../data/hagrid_dataset/stop/6ae2b4e8-4fbf-4121-a573-4143736ef967.jpg,stop,train
../data/hagrid_dataset/stop/016c8c65-d634-4ebf-a254-e2071ca31de4.jpg,stop,train
../data/hagrid_dataset/stop/11c64efc-6ae1-4373-91ee-de07275292e5.jpg,stop,train
../data/hagrid_dataset/stop/2067cba3-d3ec-4915-88d4-5f34df60c246.jpg,stop,train
../data/hagrid_dataset/stop/775161b3-57db-423b-86fd-40d3331d40ab.jpg,stop,train
../data/hagrid_dataset/stop/7949b669-cb32-4330-8450-ccc13d22d592.jpg,stop,train
../data/hagrid_dataset/stop/8bbffc72-a9ba-474c-bbf1-d943d857c73d.jpg,stop,train
../data/hagrid_dataset/stop/3ffcbcab-f5f3-4e9b-a97c-6abd081cd264.jpg,stop,train
../data/hagrid_dataset/stop/9537bb8f-8efd-4689-90fc-bd9ae0a2505d.jpg,stop,train
../data/hagrid_dataset/stop/bab3c222-71fa-435b-ad2d-fe2f001c7be1.jpg,stop,train
../data/hagrid_dataset/stop/6bb3ad6e-2171-41b5-8b9b-2b6ff19d5953.jpg,stop,train
../data/hagrid_dataset/stop/10caed24-dccc-4ea2-899b-5154b70c7d69.jpg,stop,train
../data/hagrid_dataset/stop/846e1c3d-1696-4f2a-aa49-a6110cd3c662.jpg,stop,train
../data/hagrid_dataset/stop/6c381db1-db51-48c4-8f3d-00b27fca84a4.jpg,stop,train
../data/hagrid_dataset/stop/de0faa46-6f9f-45d2-a0ce-c3f91efa7cbd.jpg,stop,train
../data/hagrid_dataset/stop/5443e372-7762-4769-bada-4a62e8789a74.jpg,stop,train
../data/hagrid_dataset/stop/4315eca2-1045-44cc-a448-ba65be12557d.jpg,stop,train
../data/hagrid_dataset/stop/d4b4fb02-238f-4de3-a795-6938e998c26a.jpg,stop,train
../data/hagrid_dataset/stop/831e61bd-a029-433a-a95a-17241c66f47d.jpg,stop,train
../data/hagrid_dataset/stop/7e542e17-39f8-43ab-95ac-56f5a4c7438f.jpg,stop,train
../data/hagrid_dataset/stop/053bccba-13ae-4ed8-8322-b85e8bb5a44b.jpg,stop,train
../data/hagrid_dataset/stop/52dc486d-e1d8-4dab-a6bd-0ca8d38230fc.jpg,stop,train
../data/hagrid_dataset/stop/10f7e5a9-d8a6-4671-beb5-cb50dc4ee026.jpg,stop,train
../data/hagrid_dataset/stop/6566970f-1267-4839-91ad-9d4139797ec5.jpg,stop,train
../data/hagrid_dataset/stop/252b3afd-186a-41fa-95f5-76ea0197ed6d.jpg,stop,train
../data/hagrid_dataset/stop/81476fed-62cd-4f9e-bc5a-ebb86beb31c9.jpg,stop,train
../data/hagrid_dataset/stop/ed9cb1f2-d463-4c87-8792-731feb9a224d.jpg,stop,train
../data/hagrid_dataset/stop/f2893a04-73c7-430b-8c6f-016ad4248677.jpg,stop,train
../data/hagrid_dataset/stop/71d26bd9-18fd-4534-8b0e-095fc0b5f376.jpg,stop,train
../data/hagrid_dataset/stop/6ad42d40-fd7e-4e4e-a206-4f377b617f06.jpg,stop,train
../data/hagrid_dataset/stop/957d7508-0622-4c90-a2ba-7a910a2e1608.jpg,stop,train
../data/hagrid_dataset/stop/199fd147-13d5-4b9c-98c8-57bd374e0c75.jpg,stop,train
../data/hagrid_dataset/stop/74f9bb94-4b5d-4fef-9b42-6806ed935b24.jpg,stop,train
../data/hagrid_dataset/stop/caa35938-c772-46a3-beb6-f9569c485c36.jpg,stop,train
../data/hagrid_dataset/stop/c6c8b9b7-d941-460c-9633-623bc57cc733.jpg,stop,train
../data/hagrid_dataset/stop/3d272709-a19f-4e85-9886-25be0620120e.jpg,stop,train
../data/hagrid_dataset/stop/f0aacaa2-bbfa-4f1e-9e60-06364bbf58c5.jpg,stop,train
../data/hagrid_dataset/stop/75f466a8-d435-4568-b3bd-63fc2ae7dd04.jpg,stop,train
../data/hagrid_dataset/stop/341e4893-0f32-48ed-92fd-4db9dd671da3.jpg,stop,train
../data/hagrid_dataset/stop/70d3699f-df28-4a10-86c5-9d6ff685e19c.jpg,stop,train
../data/hagrid_dataset/stop/79e689db-0fff-43c7-99a6-f388a4369844.jpg,stop,train
../data/hagrid_dataset/stop/de898acc-43fc-4f85-b722-88bf688765ee.jpg,stop,train
../data/hagrid_dataset/stop/f6483409-e389-4d57-8bf2-5458695bc430.jpg,stop,train
../data/hagrid_dataset/stop/e16132d3-023d-4a77-921a-cdd8d7e85870.jpg,stop,train
../data/hagrid_dataset/stop/196ea16e-30c6-40ab-8348-1d0ba31d38e9.jpg,stop,train
../data/hagrid_dataset/stop/13d3cac1-c195-4652-9b95-d33d91863739.jpg,stop,train
../data/hagrid_dataset/stop/d8b91ffb-b0fa-4418-9517-b8ed1767c968.jpg,stop,train
../data/hagrid_dataset/stop/e602741d-b4d4-4a2d-9588-5bc4dd643082.jpg,stop,train
../data/hagrid_dataset/stop/db90ae88-2f51-4836-8d40-0e2fa05e021a.jpg,stop,train
../data/hagrid_dataset/stop/ac4dc01c-4ca5-4ace-a621-f5d028f6e1ac.jpg,stop,train
../data/hagrid_dataset/stop/3ca9aba0-0ae7-48e3-be51-5872f164393b.jpg,stop,train
../data/hagrid_dataset/stop/90ee1d66-7aa1-47f8-af1e-d89defbe82f5.jpg,stop,train
../data/hagrid_dataset/stop/5281867d-7fd4-4891-80af-4601245d0bfd.jpg,stop,train
../data/hagrid_dataset/stop/1389d0b0-760a-4604-a475-7962da1a26db.jpg,stop,train
../data/hagrid_dataset/stop/df3ec784-0d31-4de4-a3de-b632c89ceeb3.jpg,stop,train
../data/hagrid_dataset/stop/3c3231e5-6bc2-4f0a-b4df-330d5d05ff74.jpg,stop,train
../data/hagrid_dataset/stop/8cafc9ac-7966-42e9-98ad-4c1ab0bd0579.jpg,stop,train
../data/hagrid_dataset/stop/c97f0b32-aedb-44cd-bff1-a4544537af11.jpg,stop,train
../data/hagrid_dataset/stop/c90c8ff2-d6fb-4677-b4b8-d016e545a221.jpg,stop,train
../data/hagrid_dataset/stop/d8f44149-7a9c-4e72-920a-42fad5fed5f3.jpg,stop,train
../data/hagrid_dataset/stop/25a03658-8f98-4c25-b868-91f22ce7acd3.jpg,stop,train
../data/hagrid_dataset/stop/925da513-ff73-4265-a706-5047707b7756.jpg,stop,train
../data/hagrid_dataset/stop/6ab758a2-0a49-4729-b066-10a77ebb8aeb.jpg,stop,train
../data/hagrid_dataset/stop/f6119b69-6727-4568-94ce-51cf9fe6c0dd.jpg,stop,train
../data/hagrid_dataset/stop/dc63432f-3ad8-4230-a26f-b015a418b5ba.jpg,stop,train
../data/hagrid_dataset/stop/8757a019-39f3-4e27-a5b3-316c74276c9f.jpg,stop,train
../data/hagrid_dataset/stop/4adbb2e3-bff4-471a-b76d-184ee473e379.jpg,stop,train
../data/hagrid_dataset/stop/9d60a71b-2269-4c85-9476-86c1aa244ee5.jpg,stop,train
../data/hagrid_dataset/stop/5f1f64c1-74ec-4276-9bd3-be18292485de.jpg,stop,train
../data/hagrid_dataset/stop/0ceb3aba-2ebc-448d-9028-7b23f70f1982.jpg,stop,train
../data/hagrid_dataset/stop/0b3c7d80-f2cd-4f9a-8d41-445a483dd809.jpg,stop,train
