epoch,train_loss,val_loss,train_acc,val_acc
1,0.6951651666929756,0.6944395701090494,0.5038676407391491,0.47833333333333333
2,0.6866423614710556,0.6813210860888164,0.5580146110872368,0.5433333333333333
3,0.6651835933641451,0.6165870213508606,0.6001289213579717,0.66
4,0.6096470994809998,0.5971545338630676,0.665663944993554,0.7033333333333334
5,0.5289657907676533,0.4831064001719157,0.7359260850880963,0.785
6,0.46848891417407457,0.38498792608579,0.7758917060593038,0.835
7,0.42704030818881833,0.39860075424114866,0.800386764073915,0.8433333333333334
8,0.38229661836714307,0.3156110568841298,0.8274602492479587,0.85
9,0.35584518792396663,0.338312182923158,0.8487322733132789,0.855
10,0.3369360926021155,0.26611577565471334,0.8571121615814353,0.89
